iter	Logloss
0	0.6457892645
1	0.6112519828
2	0.584297302
3	0.5622427403
4	0.5447629161
5	0.5321089725
6	0.5211518911
7	0.5107860846
8	0.5025257325
9	0.496207873
10	0.4905993649
11	0.4861053018
12	0.4827121776
13	0.4797951136
14	0.4774647094
15	0.4748282632
16	0.4723007346
17	0.4709575409
18	0.4691709179
19	0.4678248281
20	0.4663461718
21	0.4651223979
22	0.4636767074
23	0.4626535351
24	0.4614684807
25	0.4606581739
26	0.4595837557
27	0.4589312371
28	0.4580616989
29	0.4573699099
30	0.4566140942
31	0.4559605944
32	0.4552907806
33	0.4546355587
34	0.4541893539
35	0.4537971947
36	0.4532397236
37	0.4521587827
38	0.451728673
39	0.451191336
40	0.4507010929
41	0.4496514737
42	0.4489736611
43	0.4484846216
44	0.4479114802
45	0.4472562977
46	0.4467555519
47	0.4464576891
48	0.4460812033
49	0.4458217723
50	0.4453617313
51	0.4450401877
52	0.4447049802
53	0.4441246228
54	0.443462606
55	0.4429205835
56	0.4424660698
57	0.4421702029
58	0.4415320784
59	0.4410201988
60	0.4404482424
61	0.4401651981
62	0.4397975919
63	0.4394433687
64	0.4388478464
65	0.4382684702
66	0.4377933603
67	0.4374498598
68	0.4370909856
69	0.4366032245
70	0.4362479827
71	0.4358862867
72	0.4353467165
73	0.4349870299
74	0.4346446202
75	0.4342273742
76	0.4338181855
77	0.4334191949
78	0.4329618282
79	0.4323526144
80	0.4321926077
81	0.4319498049
82	0.4315548501
83	0.4311677947
84	0.4306721035
85	0.4300097508
86	0.4298381799
87	0.4293107204
88	0.429126717
89	0.4288489468
90	0.4281948515
91	0.4276933893
92	0.4273717067
93	0.4270798165
94	0.4263600313
95	0.4260775526
96	0.4256816529
97	0.4252676715
98	0.424848826
99	0.4243230669
