iter	Passed	Remaining
0	1	184
1	6	340
2	11	356
3	15	369
4	20	394
5	24	382
6	28	376
7	31	362
8	36	366
9	39	358
10	44	357
11	48	357
12	53	359
13	56	349
14	61	346
15	65	344
16	70	343
17	72	331
18	77	328
19	80	320
20	83	315
21	87	310
22	91	307
23	95	303
24	99	299
25	103	293
26	106	287
27	109	282
28	113	276
29	118	277
30	122	272
31	127	270
32	132	268
33	136	264
34	140	261
35	145	257
36	150	256
37	153	250
38	157	247
39	161	242
40	167	240
41	170	235
42	174	230
43	178	226
44	182	223
45	187	219
46	191	215
47	194	211
48	198	207
49	202	202
50	206	198
51	210	194
52	213	189
53	217	185
54	220	180
55	223	175
56	228	172
57	233	169
58	239	166
59	245	163
60	250	159
61	254	156
62	259	152
63	263	148
64	268	144
65	271	139
66	275	135
67	278	131
68	283	127
69	288	123
70	292	119
71	296	115
72	300	111
73	304	106
74	310	103
75	314	99
76	318	95
77	321	90
78	325	86
79	328	82
80	332	77
81	336	73
82	339	69
83	343	65
84	347	61
85	353	57
86	357	53
87	360	49
88	364	45
89	367	40
90	371	36
91	376	32
92	381	28
93	385	24
94	389	20
95	394	16
96	398	12
97	402	8
98	406	4
99	410	0
